title;year;volume;issue;journal;language;family;subgroup;mono_multilingual;topic;country;region;continent;coder;inclusion
Indo-European;1983;4;11;FL;English;Indo-European;English;NR;Language and Cognition;United Kingdom;northerneurope;Europe;MK;included
Indo-European;1983;4;11;FL;English;Indo-European;English;NR;Language and Cognition;Brazil;latinamerica;Others;MK;included
Indo-European;1983;4;11;FL;English;Indo-European;English;NR;Vocabulary and Semantics;United Kingdom;northerneurope;Europe;MK;included
Indo-European;1983;4;11;FL;English;Indo-European;English;NR;Vocabulary and Semantics;Brazil;latinamerica;Others;MK;included
Reading comprehension skill and detection errors on the letter t;1983;4;11;FL;English;Indo-European;English;NR;Language and Cognition;United Kingdom;northerneurope;Europe;MK;included
Clarification strategies in joint book reading;1983;4;12;FL;English;Indo-European;English;NR;Pragmatics and Discourse;Canada;northamerica;North America;MK;included
Haphazard examples, prototype theory, and the acquisition of comparatives;1983;4;12;FL;English;Indo-European;English;NR;Vocabulary and Semantics;United States;northamerica;North America;MK;included
Haphazard examples, prototype theory, and the acquisition of comparatives;1983;4;12;FL;English;Indo-European;English;NR;Morphosyntax;United States;northamerica;North America;MK;included
Joint attention and lexical acquisition style;1983;4;12;FL;English;Indo-European;English;NR;Pragmatics and Discourse;United States;northamerica;North America;MK;included
Joint attention and lexical acquisition style;1983;4;12;FL;English;Indo-European;English;NR;Vocabulary and Semantics;United States;northamerica;North America;MK;included
Reading and spelling performance of 8-year-old children;1983;4;12;FL;English;Indo-European;English;NR;Language and Cognition;United Kingdom;northerneurope;Europe;MK;included
A longitudinal study of mothers’ speech to preverbal Down’s Syndrome infants;1984;5;13;FL;English;Indo-European;English;mono (NR);Pragmatics and Discourse;Ireland;northerneurope;Europe;MK;included
Hearer-effects on speaker performances: the influence of the hearer on speakers’ effectiveness in oral communication tasks;1984;5;13;FL;English;Indo-European;English;NR;Pragmatics and Discourse;United Kingdom;northerneurope;Europe;MK;included
Recasting and related conversational techniques for triggering syntactic advances by young children;1984;5;13;FL;English;Indo-European;English;mono;Morphosyntax;United States;northamerica;North America;MK;included
Recasting and related conversational techniques for triggering syntactic advances by young children;1984;5;13;FL;English;Indo-European;English;mono;Pragmatics and Discourse;United States;northamerica;North America;MK;included
Simultaneous and sequential language acquisition in Nigerian children;1984;5;13;FL;English;Indo-European;English;both;Morphosyntax;United States;northamerica;North America;MK;included
Simultaneous and sequential language acquisition in Nigerian children;1984;5;13;FL;Igbo;Niger-Congo;non-Indo-European;multi;Phonology;United States;northamerica;North America;MK;included
Simultaneous and sequential language acquisition in Nigerian children;1984;5;13;FL;English;Indo-European;English;both;Vocabulary and Semantics;United States;northamerica;North America;MK;included
Simultaneous and sequential language acquisition in Nigerian children;1984;5;13;FL;Igbo;Niger-Congo;non-Indo-European;multi;Morphosyntax;United States;northamerica;North America;MK;included
Simultaneous and sequential language acquisition in Nigerian children;1984;5;13;FL;Igbo;Niger-Congo;non-Indo-European;multi;Vocabulary and Semantics;United States;northamerica;North America;MK;included
Simultaneous and sequential language acquisition in Nigerian children;1984;5;13;FL;English;Indo-European;English;both;Phonology;United States;northamerica;North America;MK;included
Communicative gestures and early sign language acquisition;1984;5;14;FL;American Sign Language;Signed;non-Indo-European;both;Vocabulary and Semantics;United States;northamerica;North America;MK;included
Communicative gestures and early sign language acquisition;1984;5;14;FL;American Sign Language;Signed;non-Indo-European;both;Non-verbal communication;United States;northamerica;North America;MK;included
Learning to speak Greenlandic: a case study of a two-year-old’s morphology in a polysynthetic language;1984;5;14;FL;Greenlandic;Eskimo-Aleut;non-Indo-European;mono;Vocabulary and Semantics;Denmark;northerneurope;Europe;MK;included
Learning to speak Greenlandic: a case study of a two-year-old’s morphology in a polysynthetic language;1984;5;14;FL;Greenlandic;Eskimo-Aleut;non-Indo-European;mono;Morphosyntax;Denmark;northerneurope;Europe;MK;included
The effect of variation in sentence length on young children’s attention and comprehension;1984;5;14;FL;English;Indo-European;English;NR;Morphosyntax;United States;northamerica;North America;MK;included
The effect of variation in sentence length on young children’s attention and comprehension;1984;5;14;FL;English;Indo-European;English;NR;Language and Cognition;United States;northamerica;North America;MK;included
The social-interactional context of maternal speech to infants: an explanation for the event-bound nature of early word use?;1984;5;14;FL;English;Indo-European;English;NR;Pragmatics and Discourse;United Kingdom;northerneurope;Europe;MK;included
French preschoolers’ use of et pis (’and then’);1984;5;15;FL;French;Indo-European;other Indo-European;mono;Morphosyntax;France;westerneurope;Europe;MK;included
French preschoolers’ use of et pis (’and then’);1984;5;15;FL;French;Indo-European;other Indo-European;mono;Vocabulary and Semantics;France;westerneurope;Europe;MK;included
French preschoolers’ use of et pis (’and then’);1984;5;15;FL;French;Indo-European;other Indo-European;mono;Pragmatics and Discourse;France;westerneurope;Europe;MK;included
Individual differences in the acquisition of number markers;1984;5;15;FL;English;Indo-European;English;mono (NR);Morphosyntax;United Kingdom;northerneurope;Europe;MK;included
Young children’s coordination of gestural and linguistic reference;1984;5;15;FL;English;Indo-European;English;NR;Pragmatics and Discourse;United States;northamerica;North America;MK;included
Young children’s coordination of gestural and linguistic reference;1984;5;15;FL;English;Indo-European;English;NR;Non-verbal communication;United States;northamerica;North America;MK;included
In, on, under: an essay on the modularity of infant spatial competence;1986;6;16;FL;Dutch;Indo-European;other Indo-European;mono (NR);Vocabulary and Semantics;Netherlands;westerneurope;Europe;MK;included
In, on, under: an essay on the modularity of infant spatial competence;1986;6;16;FL;Dutch;Indo-European;other Indo-European;mono (NR);Language and Cognition;Netherlands;westerneurope;Europe;MK;included
Linear organization of spatial instructions: development of comprehension and production;1986;6;16;FL;English;Indo-European;English;NR;Pragmatics and Discourse;United Kingdom;northerneurope;Europe;MK;included
Linear organization of spatial instructions: development of comprehension and production;1986;6;16;FL;English;Indo-European;English;NR;Language and Cognition;United Kingdom;northerneurope;Europe;MK;included
Spatial term use and its relation to language function at two developmental stages*;1986;6;16;FL;English;Indo-European;English;mono (NR);Pragmatics and Discourse;Canada;northamerica;North America;MK;included
Spatial term use and its relation to language function at two developmental stages*;1986;6;16;FL;English;Indo-European;English;mono (NR);Vocabulary and Semantics;Canada;northamerica;North America;MK;included
The production of this and that by young children;1986;6;16;FL;English;Indo-European;English;NR;Pragmatics and Discourse;Australia;australia_and_new_zealand;Others;MK;included
The production of this and that by young children;1986;6;16;FL;English;Indo-European;English;NR;Language and Cognition;Australia;australia_and_new_zealand;Others;MK;included
The production of this and that by young children;1986;6;16;FL;English;Indo-European;English;NR;Vocabulary and Semantics;Australia;australia_and_new_zealand;Others;MK;included
A longitudinal investigation of gender differences in language and reading development;1986;6;17;FL;English;Indo-European;English;both;Pragmatics and Discourse;United States;northamerica;North America;MK;included
A longitudinal investigation of gender differences in language and reading development;1986;6;17;FL;English;Indo-European;English;both;Language and Cognition;United States;northamerica;North America;MK;included
A longitudinal investigation of gender differences in language and reading development;1986;6;17;FL;English;Indo-European;English;both;Vocabulary and Semantics;United States;northamerica;North America;MK;included
A longitudinal investigation of gender differences in language and reading development;1986;6;17;FL;English;Indo-European;English;both;Vocabulary and Semantics;United States;northamerica;North America;MK;included
Evidence for the morphemic spelling of novel derivatives by 12-year-old children;1986;6;17;FL;English;Indo-European;English;NR;Morphosyntax;United Kingdom;northerneurope;Europe;MK;included
General developmental patterns and individual differences in the acquisition of copula and auxiliary be forms;1986;6;17;FL;English;Indo-European;English;NR;Morphosyntax;United States;northamerica;North America;MK;included
Referential and expressive language: a study of two mother-child dyads;1986;6;17;FL;English;Indo-European;English;mono (NR);Vocabulary and Semantics;United States;northamerica;North America;MK;included
Referential and expressive language: a study of two mother-child dyads;1986;6;17;FL;English;Indo-European;English;mono (NR);Pragmatics and Discourse;United States;northamerica;North America;MK;included
Referential and expressive language: a study of two mother-child dyads;1986;6;17;FL;English;Indo-European;English;mono (NR);Language and Cognition;United States;northamerica;North America;MK;included
Young black children’s sentence comprehension skills: a comparison of performance in standard English and Jamaican Creole;1986;6;17;FL;Jamaican Creole English;Creole/Mixed;non-Indo-European;NR;Morphosyntax;United Kingdom;northerneurope;Europe;MK;included
Young black children’s sentence comprehension skills: a comparison of performance in standard English and Jamaican Creole;1986;6;17;FL;English;Indo-European;English;NR;Morphosyntax;United Kingdom;northerneurope;Europe;MK;included
Non-word speech in discourse: a strategy for language development*;1986;6;18;FL;English;Indo-European;English;mono (NR);Vocabulary and Semantics;United States;northamerica;North America;MK;included
Non-word speech in discourse: a strategy for language development*;1986;6;18;FL;English;Indo-European;English;mono (NR);Morphosyntax;United States;northamerica;North America;MK;included
Non-word speech in discourse: a strategy for language development*;1986;6;18;FL;English;Indo-European;English;mono (NR);Pragmatics and Discourse;United States;northamerica;North America;MK;included
Non-word speech in discourse: a strategy for language development*;1986;6;18;FL;English;Indo-European;English;mono (NR);Phonology;United States;northamerica;North America;MK;included
Patterns of reading ability in the inner city: a study of London*;1986;6;18;FL;English;Indo-European;English;both (NR);Pragmatics and Discourse;United Kingdom;northerneurope;Europe;MK;included
Language facilitation through stories: recasting and modelling*;1987;7;19;FL;English;Indo-European;English;NR;Morphosyntax;United States;northamerica;North America;MK;included
Language facilitation through stories: recasting and modelling*;1987;7;19;FL;English;Indo-European;English;NR;Vocabulary and Semantics;United States;northamerica;North America;MK;included
The child’s knowledge of English kin terms;1987;7;19;FL;English;Indo-European;English;NR;Vocabulary and Semantics;United Kingdom;northerneurope;Europe;MK;included
The child’s knowledge of English kin terms;1987;7;19;FL;English;Indo-European;English;NR;Vocabulary and Semantics;United Kingdom;northerneurope;Europe;MK;included
The suggestibility of children in interview studies;1987;7;19;FL;English;Indo-European;English;NR;Pragmatics and Discourse;United Kingdom;northerneurope;Europe;MK;included
Keeping it in context: strategies for enhancing literacy awareness;1987;7;20;FL;English;Indo-European;English;NR;Pragmatics and Discourse;Canada;northamerica;North America;MK;included
Keeping it in context: strategies for enhancing literacy awareness;1987;7;20;FL;English;Indo-European;English;NR;Language and Cognition;Canada;northamerica;North America;MK;included
Topic relations in mother-child conversation;1987;7;20;FL;English;Indo-European;English;NR;Pragmatics and Discourse;United States;northamerica;North America;MK;included
Deferred imitation and the acquisition of novel lexical items;1987;7;21;FL;English;Indo-European;English;NR;Vocabulary and Semantics;United States;northamerica;North America;MK;included
Parents’talk to their infants: the importance of context;1987;7;21;FL;English;Indo-European;English;NR;Vocabulary and Semantics;United Kingdom;northerneurope;Europe;MK;included
Parents’talk to their infants: the importance of context;1987;7;21;FL;English;Indo-European;English;NR;Morphosyntax;United Kingdom;northerneurope;Europe;MK;included
Parents’talk to their infants: the importance of context;1987;7;21;FL;English;Indo-European;English;NR;Pragmatics and Discourse;United Kingdom;northerneurope;Europe;MK;included
The acquisition of the transitive and intransitive action verb categories in Japanese;1987;7;21;FL;Japanese;Japonic;non-Indo-European;mono;Vocabulary and Semantics;United States;northamerica;North America;MK;included
The acquisition of the transitive and intransitive action verb categories in Japanese;1987;7;21;FL;Japanese;Japonic;non-Indo-European;mono;Morphosyntax;United States;northamerica;North America;MK;included
The emergence of temporal adverbs in child Polish;1987;7;21;FL;Polish;Indo-European;other Indo-European;NR;Language and Cognition;United States;northamerica;North America;MK;included
The emergence of temporal adverbs in child Polish;1987;7;21;FL;Polish;Indo-European;other Indo-European;NR;Language and Cognition;Poland;easterneurope;Europe;MK;included
The emergence of temporal adverbs in child Polish;1987;7;21;FL;Polish;Indo-European;other Indo-European;NR;Vocabulary and Semantics;United States;northamerica;North America;MK;included
The emergence of temporal adverbs in child Polish;1987;7;21;FL;Polish;Indo-European;other Indo-European;NR;Vocabulary and Semantics;Poland;easterneurope;Europe;MK;included
The emergence of temporal adverbs in child Polish;1987;7;21;FL;Polish;Indo-European;other Indo-European;NR;Morphosyntax;United States;northamerica;North America;MK;included
The emergence of temporal adverbs in child Polish;1987;7;21;FL;Polish;Indo-European;other Indo-European;NR;Morphosyntax;Poland;easterneurope;Europe;MK;included
Children’s speech act comprehension strategies and early literacy experiences;1988;8;22;FL;English;Indo-European;English;NR;Pragmatics and Discourse;Canada;northamerica;North America;MK;included
Children’s speech act comprehension strategies and early literacy experiences;1988;8;22;FL;English;Indo-European;English;NR;Morphosyntax;Canada;northamerica;North America;MK;included
Children’s speech act comprehension strategies and early literacy experiences;1988;8;22;FL;English;Indo-European;English;NR;Language and Cognition;Canada;northamerica;North America;MK;included
Medium effects on children’s story rewriting and story retelling;1988;8;22;FL;English;Indo-European;English;NR;Morphosyntax;Canada;northamerica;North America;MK;included
Medium effects on children’s story rewriting and story retelling;1988;8;22;FL;English;Indo-European;English;NR;Pragmatics and Discourse;Canada;northamerica;North America;MK;included
Medium effects on children’s story rewriting and story retelling;1988;8;22;FL;English;Indo-European;English;NR;Language and Cognition;Canada;northamerica;North America;MK;included
The connective AND as discourse glue;1988;8;22;FL;English;Indo-European;English;NR;Pragmatics and Discourse;United States;northamerica;North America;MK;included
The connective AND as discourse glue;1988;8;22;FL;English;Indo-European;English;NR;Pragmatics and Discourse;Canada;northamerica;North America;MK;included
The connective AND as discourse glue;1988;8;22;FL;English;Indo-European;English;NR;Vocabulary and Semantics;United States;northamerica;North America;MK;included
The connective AND as discourse glue;1988;8;22;FL;English;Indo-European;English;NR;Vocabulary and Semantics;Canada;northamerica;North America;MK;included
Three types of early word: the emergence of social words, names and cognitive-relational words in the one-word stage and their relation to cognitive development*;1988;8;22;FL;English;Indo-European;English;NR;Vocabulary and Semantics;United States;northamerica;North America;MK;included
Three types of early word: the emergence of social words, names and cognitive-relational words in the one-word stage and their relation to cognitive development*;1988;8;22;FL;English;Indo-European;English;NR;Vocabulary and Semantics;United States;northamerica;North America;MK;included
Three types of early word: the emergence of social words, names and cognitive-relational words in the one-word stage and their relation to cognitive development*;1988;8;22;FL;English;Indo-European;English;NR;Language and Cognition;United States;northamerica;North America;MK;included
Communication patterns between mothers and mentally retarded infants;1988;8;23;FL;English;Indo-European;English;both;Morphosyntax;United States;northamerica;North America;MK;included
Communication patterns between mothers and mentally retarded infants;1988;8;23;FL;English;Indo-European;English;both;Pragmatics and Discourse;United States;northamerica;North America;MK;included
Interactional predictors of early language;1988;8;23;FL;English;Indo-European;English;NR;Pragmatics and Discourse;United States;northamerica;North America;MK;included
Interactional predictors of early language;1988;8;23;FL;English;Indo-European;English;NR;Vocabulary and Semantics;United States;northamerica;North America;MK;included
Maternal attributions to a handicapped and a non-handicapped twin: a longitudinal study;1988;8;23;FL;English;Indo-European;English;NR;Pragmatics and Discourse;United States;northamerica;North America;MK;included
Maternal attributions to a handicapped and a non-handicapped twin: a longitudinal study;1988;8;23;FL;English;Indo-European;English;NR;Language and Cognition;United States;northamerica;North America;MK;included
Parents’ perceptions and attributions of infant vocal behaviour and development;1988;8;23;FL;English;Indo-European;English;NR;Pragmatics and Discourse;United States;northamerica;North America;MK;included
Parents’ perceptions and attributions of infant vocal behaviour and development;1988;8;23;FL;English;Indo-European;English;NR;Phonology;United States;northamerica;North America;MK;included
The success of parents’ indirect techniques for teaching their preschoolers pragmatic skills;1988;8;23;FL;English;Indo-European;English;NR;Pragmatics and Discourse;United States;northamerica;North America;MK;included
What makes communication run? Characteristics of immediate successes;1988;8;23;FL;English;Indo-European;English;NR;Pragmatics and Discourse;United States;northamerica;North America;MK;included
Children’s understanding of referential messages produced by deaf and hearing speakers;1988;8;24;FL;English;Indo-European;English;NR;Pragmatics and Discourse;Canada;northamerica;North America;MK;included
Children’s understanding of referential messages produced by deaf and hearing speakers;1988;8;24;FL;English;Indo-European;English;NR;Language and Cognition;Canada;northamerica;North America;MK;included
Promises: words or deeds?;1988;8;24;FL;English;Indo-European;English;NR;Pragmatics and Discourse;Canada;northamerica;North America;MK;included
Reading-disabled children’s conversational participation in dispute episodes with peers;1988;8;24;FL;English;Indo-European;English;mono (NR);Pragmatics and Discourse;United States;northamerica;North America;MK;included
Reading-disabled children’s conversational participation in dispute episodes with peers;1988;8;24;FL;English;Indo-European;English;mono (NR);Language and Cognition;United States;northamerica;North America;MK;included
The role of social cognition in comprehension monitoring;1988;8;24;FL;English;Indo-European;English;NR;Pragmatics and Discourse;United States;northamerica;North America;MK;included
